phi,psi,number
-107.401,-180,0.02
-106.85,-179.15,0.02
-106,-178.008,0.02
-105.996,-178.004,0.02
-105.994,-178,0.02
-105.96,-177.96,0.02
-105.083,-176.917,0.02
-104.243,-176,0.02
-104.137,-175.863,0.02
-104,-175.757,0.02
-103.103,-174.897,0.02
-102.084,-174,0.02
-102.044,-173.956,0.02
-102,-173.923,0.02
-101.387,-173.387,0.02
-100.976,-173.024,0.02
-100,-172.291,0.02
-99.833,-172.167,0.02
-99.674,-172,0.02
-98.837,-171.163,0.02
-98,-170.506,0.02
-97.714,-170.286,0.02
-97.434,-170,0.02
-96.747,-169.253,0.02
-96,-168.622,0.02
-95.641,-168.359,0.02
-95.23,-168,0.02
-94.63,-167.37,0.02
-94,-166.77,0.02
-93.591,-166.409,0.02
-93.049,-166,0.02
-92.517,-165.483,0.02
-92,-164.951,0.02
-91.532,-164.468,0.02
-90.923,-164,0.02
-90.407,-163.593,0.02
-90,-163.272,0.02
-89.268,-162.732,0.02
-88.018,-162.018,0.02
-88,-162.007,0.02
-87.995,-162.005,0.02
-87.988,-162,0.02
-86.795,-161.205,0.02
-86,-160.77,0.02
-85.461,-160.539,0.02
-84.011,-160.011,0.02
-84,-160.007,0.02
-83.995,-160.005,0.02
-83.977,-160,0.02
-82.486,-159.514,0.02
-82,-159.398,0.02
-81.325,-159.325,0.02
-80.704,-159.296,0.02
-80,-159.208,0.02
-79.227,-159.227,0.02
-78.773,-159.227,0.02
-78,-159.246,0.02
-77.379,-159.379,0.02
-76.377,-159.623,0.02
-76,-159.708,0.02
-75.78,-159.78,0.02
-75.166,-160,0.02
-74.251,-160.251,0.02
-74,-160.314,0.02
-73.437,-160.563,0.02
-72.805,-160.805,0.02
-72,-161.246,0.02
-71.547,-161.547,0.02
-70.944,-162,0.02
-70.363,-162.363,0.02
-70,-162.566,0.02
-69.185,-163.185,0.02
-68.371,-164,0.02
-68.179,-164.179,0.02
-68,-164.314,0.02
-67.114,-165.114,0.02
-66.376,-166,0.02
-66.195,-166.195,0.02
-66,-166.376,0.02
-65.173,-167.173,0.02
-64.539,-168,0.02
-64.317,-168.317,0.02
-64,-168.77,0.02
-63.488,-169.488,0.02
-63.24,-170,0.02
-62.767,-170.767,0.02
-62.245,-171.755,0.02
-62.109,-172,0.02
-62.063,-172.063,0.02
-62,-172.166,0.02
-61.242,-173.242,0.02
-60.882,-174,0.02
-60.574,-174.574,0.02
-60,-175.722,0.02
-59.881,-175.881,0.02
-59.828,-176,0.02
-59.492,-176.508,0.02
-59.086,-177.086,0.02
-58.608,-178,0.02
-58.354,-178.354,0.02
-58,-178.934,0.02
-57.511,-179.511,0.02
-57.272,-180,0.02
